tracking_id	root_0	root_1	root_2	root_3
Zosma103g00430	372.438	338.171	72.6417	334.709
Zosma103g00440	6919.37	7097.87	5423.34	9179.67
Zosma103g00450	134.344	167.966	178.613	151.474
Zosma103g00460	1180.5	1024.22	773.42	1074.98
Zosma103g00470	641.126	474.784	120.5	293.991
Zosma103g00490	1073.42	935.384	1156.28	1317.66
Zosma103g00500	198.19	174.685	99.9892	175.906
Zosma103g00510	254.056	256.055	503.364	421.848
Zosma103g00520	76.4829	59.7212	34.1843	46.4196
Zosma103g00530	234.769	178.417	253.819	237.798
Zosma103g00540	30.5931	20.9024	1.70922	9.77254
Zosma103g00550	1920.72	1780.44	3637.21	2247.68
Zosma103g00560	953.043	787.574	434.141	609.155
Zosma103g00570	81.1384	53.7491	117.081	111.57
Zosma103g00620	99.7603	111.231	2.56382	30.132
Zosma103g00630	869.91	1034.67	1999.78	1737.07
Zosma103g00640	12.6363	14.9303	13.6737	44.7908
Zosma103g00670	2.66027	2.23955	126.482	46.4196
Zosma103g00680	65.1767	50.0165	287.148	88.7672
Zosma103g00690	35.2486	41.0583	1116.12	194.636
Zosma103g00700	35.2486	44.7909	26.4929	133.558
Zosma103g00710	121.042	93.3144	70.0779	72.4797
Zosma103g00720	2005.18	1776.71	2157.89	2782.73
Zosma103g00730	139.664	113.47	88.0246	45.6052
Zosma103g00740	41.8993	44.0444	80.3332	57.0065
Zosma103g00750	261.372	268.746	1885.27	664.533
Zosma103g00760	1184.49	945.089	810.169	1395.84
Zosma103g00770	74.4877	67.1864	33.3297	40.7189
Zosma103g00780	1129.95	1048.85	1316.1	1576.64
Zosma103g00790	119.047	132.88	291.421	210.924
Zosma103g00800	163.607	155.275	182.886	190.565
Zosma103g00810	37.9089	26.8746	11.1099	15.4732
Zosma103g00820	532.055	541.97	659.757	587.167
Zosma103g00850	828.01	796.532	1034.08	737.827
Zosma103g00860	45.8897	34.3397	131.61	60.264
Zosma103g00890	176.243	83.6097	1.70922	17.1019
Zosma103g00900	6454.49	5530.93	1980.98	5110.22
Zosma104g00100	260.042	288.155	511.056	355.069
Zosma104g00110	456.902	420.288	242.709	230.469
Zosma104g00130	28.5979	58.9747	354.662	169.391
Zosma104g00150	499.466	309.804	25.6382	60.264
Zosma104g00190	1052.8	900.298	827.261	961.781
Zosma104g00200	1820.96	1626.66	1587.86	1772.09
Zosma104g00210	272.678	252.322	0	0
Zosma104g00240	1296.22	1141.42	1537.44	1502.53
Zosma104g00260	1994.54	1981.25	1093.9	2123.08
Zosma104g00280	548.681	579.296	912.721	820.893
