tracking_id	female_flower_early_0	female_flower_early_3	female_flower_early_1	female_flower_early_2	female_flower_late_1	female_flower_late_0
Zosma192g00100	131.324	187.972	165.022	248.882	273.716	181.377
Zosma192g00110	108.87	98.3777	119.968	137.762	78.4121	117.361
Zosma192g00120	225.224	192.071	246.223	246.932	214.181	210.05
Zosma192g00130	172.15	148.152	171.832	179.351	161.18	131.365
Zosma192g00140	382.405	267.025	360.952	363.9	389.882	273.398
Zosma192g00150	140.85	9.95488	7.85817	7.79786	16.6989	12.0029
Zosma192g00160	422.551	334.953	452.63	356.752	319.457	350.083
Zosma192g00170	144.252	105.99	236.269	111.769	119.07	104.025
Zosma192g00180	100.705	131.756	114.729	124.116	87.8506	117.361
Zosma192g00200	46.2697	38.0628	13.6208	30.5416	17.4249	34.6749
Zosma192g00210	255.164	255.899	197.502	257.329	336.156	273.398
Zosma192g00230	717.86	771.796	811.487	645.273	1033.88	878.209
Zosma192g00240	20.4131	49.7744	154.544	142.961	34.1238	20.6716
Zosma192g00250	287.825	281.079	255.652	205.344	369.553	314.075
Zosma192g00270	137.448	261.169	143.019	176.751	260.648	261.396
Zosma192g00280	161.263	193.827	179.69	204.694	204.743	152.703
Zosma192g00290	974.385	616.617	1057.19	1091.05	720.23	655.489
Zosma192g00300	220.461	108.918	202.217	173.502	173.523	138.033
Zosma192g00320	161.263	141.125	140.399	149.459	198.208	152.036
Zosma192g00330	55.7958	90.1795	93.2503	65.632	109.632	76.0181
Zosma192g00340	3268.82	1743.28	3905.51	3217.27	2582.52	1836.44
Zosma192g00350	1364.96	796.976	1411.33	1311.34	1221.2	834.866
Zosma192g00360	2197.13	1472.74	2294.06	2288.67	1942.88	1489.69
Zosma192g00370	102.746	107.747	108.967	167.004	82.7683	98.6902
Zosma192g00380	127.922	147.567	151.925	135.163	168.441	206.049
Zosma192g00390	193.924	213.737	203.265	170.903	143.03	169.374
Zosma192g00400	174.192	213.737	161.354	288.521	182.236	200.048
Zosma192g00420	83.6937	2.34233	108.443	23.3936	5.08227	2.6673
Zosma192g00430	140.85	4.68465	117.349	25.9929	5.8083	2.6673
Zosma192g00450	110.911	187.972	84.3443	177.401	175.701	184.711
Zosma192g00460	39.4653	60.9005	28.8133	49.3864	51.5487	49.3451
Zosma192g00470	2300.56	2618.13	1627.16	2208.09	2133.1	2754.66
Zosma192g00480	289.866	259.998	316.946	299.568	335.43	275.399
Zosma192g00500	73.4871	39.8195	86.4398	45.4875	46.4664	54.0129
Zosma192g00510	471.542	355.448	463.108	402.239	436.349	415.432
Zosma192g00520	179.635	107.747	201.693	227.437	150.29	108.693
Zosma192g00550	117.035	204.954	160.83	92.2746	241.045	170.707
Zosma192g00560	74.848	70.8554	100.061	70.1807	73.3298	56.0133
Zosma192g00570	945.806	938.687	1052.47	899.353	813.163	776.185
Zosma192g00580	168.068	127.657	149.829	120.217	183.688	168.04
Zosma192g00590	405.54	361.889	453.154	416.536	395.691	390.093
Zosma192g00600	304.155	295.719	312.755	318.412	334.704	268.064
Zosma192g00610	136.087	163.377	158.735	152.708	170.619	141.367
Zosma193g00020	47.6305	8.19814	22.0029	4.54875	9.43849	18.6711
Zosma193g00030	77.5697	7.02698	15.1925	3.24911	11.6166	6.00143
Zosma193g00040	1411.22	1169.41	1408.71	1525.78	1487.65	1206.95
Zosma193g00050	34.0218	31.6214	24.6223	5.19857	22.5072	60.0143
Zosma193g00060	102.746	58.5581	59.1982	82.5273	55.1789	86.6873
Zosma193g00070	42.8675	58.5581	47.149	68.8811	49.3706	37.3422
Zosma193g00090	360.631	458.51	374.573	449.027	465.39	502.786
