tracking_id	male_flower_0	male_flower_1	male_flower_3	male_flower_2	male_flower_4	male_flower_6	male_flower_5
Zosma156g00220	1246.61	1599.31	1874.33	1745.86	1621.3	2058.44	1666.97
Zosma156g00230	83.9856	144.57	70.9753	83.3697	96.3313	68.9805	129.275
Zosma156g00240	59.2839	27.1069	55.0421	47.4063	75.1058	50.1677	79.9463
Zosma156g00250	253.604	40.6604	59.3875	62.1186	53.8802	37.6257	73.1424
Zosma156g00260	220.668	94.8742	283.901	258.283	383.693	169.316	340.197
Zosma156g00270	352.41	320.765	641.675	496.949	584.519	344.903	540.913
Zosma156g00280	681.765	849.35	960.34	1227.66	842.491	1410.97	1476.46
Zosma156g00300	377.112	275.587	351.98	343.287	266.136	269.651	648.075
Zosma156g00320	6.5871	0	28.9695	42.5022	27.7565	6.27096	103.76
Zosma156g00330	4.94033	9.03564	40.5573	31.0593	58.7784	4.70322	122.471
Zosma156g00350	100.453	135.535	111.533	125.872	106.128	76.8192	47.6276
Zosma156g00360	601.073	1703.22	480.894	496.949	618.806	1166.4	139.481
Zosma156g00370	69.1646	90.3564	198.441	220.685	173.07	122.284	175.201
Zosma156g00380	386.992	1021.03	854.601	676.766	1159.24	404.477	864.101
Zosma156g00390	100.453	31.6247	14.4848	13.0776	6.53094	12.5419	3.40197
Zosma156g00400	1923.43	1472.81	1984.41	2102.22	1655.59	2107.04	2719.88
Zosma156g00420	192.673	338.836	182.508	214.146	202.459	255.542	369.114
Zosma156g00450	3.29355	9.03564	5.7939	4.9041	4.8982	9.40644	149.687
Zosma156g00460	288.186	1472.81	33.3149	184.721	62.0439	718.025	102.059
Zosma156g00470	658.71	763.511	685.129	670.227	749.425	824.631	1444.14
Zosma156g00480	64.2243	117.463	78.2177	96.4473	80.004	68.9805	100.358
Zosma156g00490	182.792	207.82	75.3208	37.5981	97.964	32.9225	115.667
Zosma157g00010	2644.72	4495.23	237.55	2027.03	455.533	2262.25	1.70099
Zosma157g00020	4.94033	0	1.44848	40.8675	8.16367	3.13548	17.0099
Zosma157g00030	31.2887	90.3564	0	0	0	1.56774	0
Zosma157g00060	60.9307	45.1782	53.5936	142.219	32.6547	42.329	95.2552
Zosma157g00070	281.599	329.801	508.415	361.269	390.223	301.006	345.3
Zosma157g00080	80.692	22.5891	127.466	214.146	99.5968	81.5224	108.863
Zosma157g00090	877.732	1075.24	705.408	725.807	625.337	815.224	1280.84
Zosma157g00100	622.481	564.727	596.772	617.917	654.726	634.934	1469.65
Zosma157g00110	889.259	993.92	841.565	796.099	811.469	750.947	583.438
Zosma157g00120	1024.29	912.599	693.82	671.862	692.279	711.754	658.281
Zosma157g00130	171.265	298.176	195.544	253.379	241.645	191.264	258.55
Zosma157g00160	1.64678	0	10.1393	1.6347	29.3892	1.56774	42.5246
Zosma157g00200	65.871	85.8385	98.4964	111.16	111.026	100.335	88.4512
Zosma157g00210	113.628	212.337	143.399	179.817	176.335	109.742	151.388
Zosma158g00040	6886.82	7739.02	3247.48	5093.73	2124.19	7717.98	1859.18
Zosma158g00080	1248.26	2046.57	1951.1	1853.75	1622.94	1915.78	602.149
Zosma158g00090	220.668	103.91	286.798	297.515	226.95	352.741	328.29
Zosma158g00100	1.64678	0	2.89695	3.2694	1.63273	3.13548	59.5345
Zosma158g00110	135.036	198.784	120.224	120.968	86.5349	103.471	399.732
Zosma158g00120	1546.32	3334.15	599.669	735.615	537.17	895.179	210.922
Zosma158g00160	400.167	460.817	443.234	415.214	414.714	390.367	199.015
Zosma158g00170	530.262	442.746	431.646	460.986	329.812	545.573	216.025
Zosma158g00180	116.921	207.82	120.224	101.351	83.2694	103.471	64.6374
Zosma158g00200	59.2839	0	46.3512	4.9041	4.8982	1.56774	22.1128
Zosma158g00230	973.245	1183.67	848.807	1047.84	896.371	834.037	144.584
Zosma158g00250	136.682	153.606	173.817	183.086	189.397	159.909	370.815
Zosma158g00290	1890.5	1621.9	5256.52	4722.65	4166.74	5510.6	3944.58
Zosma158g00300	141.623	194.266	46.3512	73.5615	58.7784	98.7676	408.236
Zosma158g00310	520.381	492.442	560.56	511.661	471.86	666.289	784.154
Zosma158g00320	118.568	90.3564	81.1147	142.219	104.495	70.5483	294.27
Zosma158g00330	47.7565	58.7316	2.89695	0	1.63273	3.13548	0
Zosma158g00340	271.718	352.39	340.392	307.324	262.87	351.174	323.187
Zosma158g00350	533.555	519.549	808.25	828.793	831.062	923.398	2350.76
Zosma159g00010	260.191	230.409	276.659	253.379	142.048	253.974	113.966
Zosma159g00020	19.7613	198.784	24.6241	13.0776	99.5968	12.5419	3.40197
Zosma159g00030	479.212	361.425	327.356	375.981	364.1	578.496	267.055
Zosma159g00040	126.802	99.392	139.054	109.525	120.822	105.039	105.461
Zosma159g00050	4363.96	6641.19	3584.98	4348.3	3445.07	4707.92	5567.32
Zosma159g00080	52.6968	180.713	115.878	86.6391	205.724	51.7354	164.996
Zosma159g00090	149.857	167.159	212.926	132.411	191.03	103.471	3.40197
Zosma159g00100	1.64678	13.5535	10.1393	86.6391	11.4291	9.40644	47.6276
Zosma159g00110	884.319	998.438	440.337	331.844	462.064	506.38	137.78
Zosma159g00130	47.7565	67.7673	34.7634	24.5205	35.9202	23.5161	44.2256
Zosma159g00140	227.255	406.604	333.149	317.132	471.86	456.212	5250.94
Zosma159g00200	1248.26	194.266	1008.14	1412.38	1198.43	1641.42	904.924
Zosma159g00210	989.712	266.551	1093.6	1100.15	1067.81	1089.58	622.561
Zosma159g00220	2898.33	6546.32	1890.26	4140.7	2318.48	5331.88	404.835
Zosma159g00230	378.758	424.675	198.441	343.287	197.561	305.709	452.462
Zosma159g00240	21.4081	22.5891	33.3149	194.529	97.964	23.5161	39.1227
Zosma159g00270	143.27	203.302	128.914	158.566	130.619	147.367	39.1227
Zosma159g00280	411.694	126.499	185.405	207.607	208.99	170.884	132.677
Zosma159g00290	395.226	329.801	309.974	359.634	306.954	390.367	234.736
Zosma159g00310	202.553	298.176	130.363	178.182	148.579	161.477	78.2453
Zosma159g00320	131.742	153.606	134.708	116.064	124.088	131.69	352.104
Zosma159g00330	29.642	13.5535	37.6604	34.3287	39.1856	31.3548	78.2453
Zosma159g00350	19.7613	40.6604	69.5269	50.6757	99.5968	26.6516	6079.32
Zosma159g00360	92.2195	112.945	178.163	71.9268	145.313	87.7934	52.7305
Zosma159g00370	979.832	329.801	104.29	127.507	124.088	279.058	44.2256
Zosma159g00390	342.529	334.319	243.344	289.342	272.667	368.419	404.835
Zosma159g00410	1345.42	1874.89	896.607	701.287	915.964	1092.71	341.898
