tracking_id	vegetative_0	vegetative_1	vegetative_5	vegetative_4	vegetative_3	vegetative_2
Zosma56g01280	1.41714	14.4969	43.5007	88.237	17.9533	12.4469
Zosma56g01300	430.81	31.3133	541.039	124.252	705.166	769.444
Zosma56g01310	52.4341	4.05913	38.9693	7.20302	48.8729	4.52614
Zosma56g01320	13746.2	4254.54	19926	6682.6	15329.1	20965.1
Zosma56g01330	55.2683	412.291	43.5007	700.494	77.7977	167.467
Zosma56g01340	5.66855	643.082	5.43758	167.47	4.98703	227.438
Zosma56g01350	5234.9	1135.98	4386.32	3174.73	6536	2113.71
Zosma56g01360	2.83427	27.834	0	18.0076	0	0
Zosma56g01370	4.25141	161.785	0	0	6.98184	3.3946
Zosma56g01410	5.66855	24.3548	3.62505	130.555	6.98184	235.359
Zosma56g01430	5.66855	73.0643	0	79.2333	0.997406	4.52614
Zosma56g01470	58.1026	293.417	56.1883	119.75	37.9014	39.6037
Zosma56g01480	6834.85	3642.2	4586.6	7639.71	7533.41	6743.95
Zosma56g01490	22.6742	41.1711	36.2505	50.4212	27.9274	48.656
Zosma56g01500	21.2571	46.9699	15.4065	12.6053	14.9611	2.26307
Zosma56g01510	151.634	115.395	107.845	184.577	125.673	175.388
Zosma56g01520	423.724	294.577	470.351	398.867	470.776	1171.14
Zosma56g01530	202.651	57.4076	164.94	43.2181	198.484	64.4975
